Month,Customer,MRR,Interactions,Interaction Cost,Acquisition Cost
2025-02,Zenith Foods,230676,15,308.32,37839.95305768554
2025-03,Zenith Foods,251839,12,140.28,70658.70203665324
2025-04,Zenith Foods,212578,12,192.64,56960.17518575353
2025-05,Zenith Foods,193185,17,162.55,65924.99484818506
2025-06,Zenith Foods,218829,9,583.31,42697.226906732336
2025-07,Zenith Foods,183817,19,593.6,58370.64530483571
2025-08,Zenith Foods,224502,9,373.92,60304.09699541672
2025-09,Zenith Foods,183343,2,472.74,62118.52532222051
2025-10,Zenith Foods,240987,13,299.08,44922.51430179171
2025-11,Zenith Foods,250216,12,505.21,57610.41048551941
2025-12,Zenith Foods,181837,6,461.39,78721.25590886881
2026-01,Zenith Foods,271468,2,454.02,30833.132915910155
2026-02,Zenith Foods,216683,22,353.76,70657.7641885435
2026-03,Zenith Foods,224337,22,267.31,30725.334402726792
2026-04,Zenith Foods,200793,4,215.0,72517.66233549875
2026-05,Zenith Foods,189404,11,157.59,75788.69258730396
2026-06,Zenith Foods,209526,4,475.05,49261.88102506332
2026-07,Zenith Foods,214176,3,179.93,76581.86696454167
2026-08,Zenith Foods,186029,2,368.81,64705.737324278976
2025-01,Aria Components,0,6,127.33,302506.72031275334
2025-02,Aria Components,0,16,503.52,324257.91602377646
2025-03,Aria Components,110908,4,595.24,518672.19949836476
2025-04,Aria Components,94426,14,247.99,176509.74404739184
2025-05,Aria Components,101836,5,541.95,508541.05555301567
2025-06,Aria Components,0,18,199.96,489909.5746117961
2025-07,Aria Components,0,12,126.04,296306.9964605901
2025-08,Aria Components,0,5,145.74,184220.83550873608
2025-09,Aria Components,101939,10,443.76,278974.1303219011
2025-10,Aria Components,0,13,360.46,258208.88744348515
2025-11,Aria Components,0,18,359.51,249116.03216042227
2025-12,Aria Components,99731,7,273.47,289536.1493995466
2026-01,Aria Components,0,15,398.42,389782.08470033336
2026-02,Aria Components,105063,16,391.19,277076.0838357348
2026-03,Aria Components,83747,14,426.78,284813.783381859
2026-04,Aria Components,0,6,371.61,214887.81986256217
2026-05,Aria Components,0,20,634.62,375369.4721733939
2026-06,Aria Components,88713,6,592.71,190918.0156036413
2026-07,Aria Components,94316,11,629.62,191978.03253677586
2026-08,Aria Components,0,20,457.51,449801.5972252677
2025-01,BrightPath Consulting,60321,8,574.49,53944.76536692555
2025-02,BrightPath Consulting,83221,17,142.81,31873.791884505084
2025-03,BrightPath Consulting,73659,24,512.79,50397.07931171664
2025-04,BrightPath Consulting,70799,24,398.77,41797.2891247353
2025-05,BrightPath Consulting,58182,24,642.5,26697.259205368282
2025-06,BrightPath Consulting,66119,9,246.02,24557.975230358534
2025-07,BrightPath Consulting,65399,14,599.66,42027.93754311841
2025-08,BrightPath Consulting,75732,13,465.49,45984.50666216113
2025-09,BrightPath Consulting,78723,9,531.91,52703.399174846345
2025-10,BrightPath Consulting,65532,17,277.79,39955.83487808135
2025-11,BrightPath Consulting,64933,11,551.45,27249.684021438963
2025-12,BrightPath Consulting,81768,13,613.02,45610.93926723639
2026-01,BrightPath Consulting,78250,15,459.36,29378.601824582373
2026-02,BrightPath Consulting,82742,13,360.11,49480.86498617809
2026-03,BrightPath Consulting,82435,16,339.77,54449.167269961305
2026-04,BrightPath Consulting,80773,24,409.59,48323.63766952791
2026-05,BrightPath Consulting,77598,23,492.27,25933.027213178975
2026-06,BrightPath Consulting,60004,22,194.95,21990.659068404253
2026-07,BrightPath Consulting,71754,21,401.86,57453.231742347656
2026-08,BrightPath Consulting,67650,8,305.02,20604.935471388148
2025-01,Cobalt Systems,69566,17,615.03,289533.8309999147
2025-02,Cobalt Systems,55337,9,465.35,209583.2732905864
2025-03,Cobalt Systems,58215,23,406.65,272395.13204503
2025-04,Cobalt Systems,62110,23,189.06,197206.78010040248
2025-05,Cobalt Systems,63285,7,625.14,239364.30577696257
2025-06,Cobalt Systems,66086,5,460.02,232646.30211905218
2025-07,Cobalt Systems,63834,9,426.77,149541.15275654529
2025-08,Cobalt Systems,75995,14,188.3,189479.462834889
2025-09,Cobalt Systems,67305,16,630.16,141245.93694878652
2025-10,Cobalt Systems,72543,24,496.96,303621.8592656394
2025-11,Cobalt Systems,72381,18,214.87,226837.3610534296
2025-12,Cobalt Systems,74665,2,281.81,319773.1016363344
2026-01,Cobalt Systems,52667,20,400.11,151620.74949488844
2026-02,Cobalt Systems,52248,8,293.44,254988.07192389946
2026-03,Cobalt Systems,69958,24,155.19,199770.51208466955
2026-04,Cobalt Systems,54049,14,562.04,235724.9136002139
2026-05,Cobalt Systems,70189,11,277.85,336117.21660474816
2026-06,Cobalt Systems,56742,13,534.88,358233.36511631415
2026-07,Cobalt Systems,68980,24,198.12,252349.63517152888
2026-08,Cobalt Systems,70529,8,243.29,310136.4541692148
2025-01,Dawn Healthcare,169627,11,244.53,131032.76698474129
2025-02,Dawn Healthcare,203693,18,299.26,229855.87870594548
2025-03,Dawn Healthcare,176461,23,442.0,150337.6369736947
2025-04,Dawn Healthcare,215007,17,612.66,92529.87794421663
2025-05,Dawn Healthcare,169620,17,590.24,96849.58729543326
2025-06,Dawn Healthcare,185189,13,128.54,150147.28026136587
2025-07,Dawn Healthcare,229719,15,615.44,231954.17359855302
2025-08,Dawn Healthcare,201377,16,532.69,161287.40892078826
2025-09,Dawn Healthcare,226849,17,133.7,112617.05753503539
2025-10,Dawn Healthcare,178630,24,200.75,218083.92388165608
2025-11,Dawn Healthcare,208092,12,321.2,186780.76682055581
2025-12,Dawn Healthcare,168290,7,460.38,126788.80918575707
2026-01,Dawn Healthcare,199752,13,510.08,157691.27137888162
2026-02,Dawn Healthcare,164162,2,145.44,95039.4283796393
2026-03,Dawn Healthcare,164566,5,131.19,189974.86372918074
2026-04,Dawn Healthcare,210498,16,585.71,94192.20794542147
2026-05,Dawn Healthcare,176363,11,286.08,177996.26767122414
2026-06,Dawn Healthcare,240268,4,306.41,119120.40655368527
2026-07,Dawn Healthcare,248581,13,224.02,204762.3184651709
2026-08,Dawn Healthcare,195031,16,451.91,152357.41173865428
2025-01,Eagle Retail,28708,18,203.95,324407.83440180094
2025-02,Eagle Retail,24778,11,164.99,710317.5269441864
2025-03,Eagle Retail,26621,23,459.2,450430.4872128978
2025-04,Eagle Retail,26841,10,122.62,446048.5850586993
2025-05,Eagle Retail,25304,21,470.17,680337.1598971668
2025-06,Eagle Retail,28820,18,612.55,466602.6379721247
2025-07,Eagle Retail,21086,16,331.74,587304.8933829492
2025-08,Eagle Retail,22814,4,476.61,284522.1752580422
2025-09,Eagle Retail,25746,13,363.63,527812.6036879426
2025-10,Eagle Retail,28570,17,440.05,719255.5896871738
2025-11,Eagle Retail,22185,9,449.03,594535.973994811
2025-12,Eagle Retail,23097,7,458.66,416648.74462068157
2026-01,Eagle Retail,21353,5,216.66,658591.3949231887
2026-02,Eagle Retail,23056,17,230.73,290998.7905951767
2026-03,Eagle Retail,19747,21,280.33,376000.9174127538
2026-04,Eagle Retail,26530,4,233.28,628604.1846038448
2026-05,Eagle Retail,27282,4,168.67,515861.47746356775
2026-06,Eagle Retail,20753,9,558.76,425351.7323118927
2026-07,Eagle Retail,28646,10,603.21,652801.8348900456
2026-08,Eagle Retail,20664,13,334.44,419334.6187567939
2025-01,Fusion Logistics,150735,5,419.88,63566.590923280215
2025-02,Fusion Logistics,171136,22,556.74,34954.384690676976
2025-03,Fusion Logistics,137497,24,330.84,62291.75196417973
2025-04,Fusion Logistics,123295,11,345.52,89534.4670436532
2025-05,Fusion Logistics,150969,20,329.91,48669.34133963238
2025-06,Fusion Logistics,157734,17,606.39,58208.19280933321
2025-07,Fusion Logistics,142579,17,311.51,49702.13374504227
2025-08,Fusion Logistics,167719,16,596.17,43374.564585037355
2025-09,Fusion Logistics,172417,11,509.71,45105.11223768132
2025-10,Fusion Logistics,126883,12,303.97,63816.82178675921
2025-11,Fusion Logistics,179644,11,285.39,69815.31511453504
2025-12,Fusion Logistics,123503,6,580.52,39213.500593968514
2026-01,Fusion Logistics,168436,17,341.56,81677.26094339641
2026-02,Fusion Logistics,176853,24,470.77,80330.74291939418
2026-03,Fusion Logistics,175923,23,585.24,59472.92779586622
2026-04,Fusion Logistics,142852,16,504.68,97093.36470972544
2026-05,Fusion Logistics,161582,7,404.24,89911.10395155603
2026-06,Fusion Logistics,136370,19,472.09,35335.625793057225
2026-07,Fusion Logistics,152745,24,629.79,69862.73002885419
2026-08,Fusion Logistics,183631,24,647.79,58551.8829048814
