Opportunity ID,Customer,Salesperson,Region,Industry,Stage,Deal Value,Probability,Expected Revenue,Created Date,Expected Close
OPP-0246,Zenith Foods,Aarav,East,Logistics,Won,3232000,1.0,3232000,2026-01-10,2026-03-03
OPP-0247,Fusion Logistics,Aarav,North,Manufacturing,Won,2113000,1.0,2113000,2026-07-25,2026-10-13
OPP-0248,Metro Healthcare,Kabir,East,Logistics,Lead,2954000,0.1,295400,2025-03-04,2025-04-08
OPP-0249,Kaveri Engineering,Kabir,West,Healthcare,Lost,3769000,0.0,0,2025-06-19,2025-07-19
OPP-0250,Urban Retail,Diya,West,Healthcare,Lead,3603000,0.1,360300,2025-06-20,2025-10-05
OPP-0251,BrightPath Consulting,Rohan,East,Retail,Won,2078000,1.0,2078000,2026-01-30,2026-04-24
OPP-0252,Dawn Healthcare,Rohan,North,IT Services,Lead,4385000,0.1,438500,2025-10-14,2026-01-22
OPP-0253,Metro Healthcare,Meera,West,Education,Negotiation,4396000,0.7,3077200,2025-11-13,2026-01-30
OPP-0254,Kaveri Engineering,Kabir,East,Healthcare,Won,1329000,1.0,1329000,2025-08-28,2025-09-12
OPP-0255,Jupiter Foods,Diya,South,Retail,Negotiation,3686000,0.7,2580200,2025-06-11,2025-07-06
OPP-0256,Riverstone Ltd,Aarav,West,Healthcare,Negotiation,4118000,0.7,2882600,2026-07-15,2026-10-26
OPP-0257,Jupiter Foods,Rohan,North,Logistics,Won,3271000,1.0,3271000,2025-07-25,2025-10-07
OPP-0258,Summit Manufacturing,Aarav,West,Healthcare,Proposal,989000,0.5,494500,2026-02-09,2026-04-30
OPP-0259,Horizon Tech,Meera,East,Education,Lead,3644000,0.1,364400,2026-07-08,2026-08-08
OPP-0260,Gamma Manufacturing,Diya,North,IT Services,Proposal,2683000,0.5,1341500,2025-11-25,2026-01-27
OPP-0261,Aria Components,Rohan,South,IT Services,Qualified,2573000,0.25,643250,2025-10-24,2026-02-19
OPP-0262,Lotus Retail,Sana,West,Manufacturing,Lost,2258000,0.0,0,2025-02-15,2025-03-29
OPP-0263,Quantum Tech,Rohan,North,Manufacturing,Qualified,209000,0.25,52250,2025-06-09,2025-09-03
OPP-0264,Summit Manufacturing,Rohan,South,Retail,Qualified,3928000,0.25,982000,2025-02-04,2025-06-23
OPP-0265,Indus Education,Aarav,East,IT Services,Proposal,4263000,0.5,2131500,2025-10-14,2025-12-01
OPP-0266,Riverstone Ltd,Kabir,West,Healthcare,Qualified,197000,0.25,49250,2025-07-05,2025-07-28
OPP-0267,Westline Systems,Aarav,East,Retail,Won,2906000,1.0,2906000,2025-03-07,2025-04-21
OPP-0268,Metro Healthcare,Diya,West,IT Services,Qualified,472000,0.25,118000,2026-08-02,2026-12-24
OPP-0269,Falcon Logistics,Aarav,East,Retail,Lost,4463000,0.0,0,2026-01-15,2026-03-27
OPP-0270,Indus Education,Rohan,West,Manufacturing,Won,4078000,1.0,4078000,2025-03-02,2025-03-29
OPP-0271,Vertex Health,Sana,East,Education,Lead,3416000,0.1,341600,2025-04-14,2025-06-18
OPP-0272,Kaveri Engineering,Kabir,East,Healthcare,Proposal,2962000,0.5,1481000,2026-08-29,2027-01-11
OPP-0273,Horizon Tech,Diya,North,Healthcare,Qualified,1755000,0.25,438750,2025-05-08,2025-09-12
OPP-0274,Crescent Retail,Rohan,East,Logistics,Won,770000,1.0,770000,2025-07-19,2025-09-28
OPP-0275,Cobalt Systems,Aarav,North,Healthcare,Won,4314000,1.0,4314000,2025-05-24,2025-09-14
OPP-0276,Urban Retail,Kabir,South,Retail,Qualified,1110000,0.25,277500,2025-12-14,2026-01-27
OPP-0277,Riverstone Ltd,Diya,West,IT Services,Won,873000,1.0,873000,2025-08-15,2025-12-23
OPP-0278,Indus Education,Rohan,East,Retail,Proposal,1167000,0.5,583500,2025-09-30,2025-10-21
OPP-0279,Eagle Retail,Meera,North,IT Services,Qualified,558000,0.25,139500,2025-06-21,2025-10-30
OPP-0280,Riverstone Ltd,Meera,East,Manufacturing,Lead,4036000,0.1,403600,2026-06-10,2026-08-18
OPP-0281,Indus Education,Diya,South,Manufacturing,Won,4370000,1.0,4370000,2025-09-21,2026-01-24
OPP-0282,Cobalt Systems,Sana,East,IT Services,Qualified,4041000,0.25,1010250,2026-02-04,2026-03-05
OPP-0283,Evergreen Health,Meera,North,Education,Proposal,2322000,0.5,1161000,2025-01-17,2025-06-11
OPP-0284,Gamma Manufacturing,Kabir,South,IT Services,Lead,2001000,0.1,200100,2025-10-21,2026-02-17
OPP-0285,Gamma Manufacturing,Rohan,North,Manufacturing,Proposal,1095000,0.5,547500,2025-07-04,2025-09-01
OPP-0286,Trinity Services,Sana,South,Education,Won,851000,1.0,851000,2026-05-23,2026-07-12
OPP-0287,Nova Systems,Sana,North,Education,Qualified,366000,0.25,91500,2025-11-12,2026-04-09
OPP-0288,Crescent Retail,Aarav,West,Healthcare,Qualified,3800000,0.25,950000,2025-12-22,2026-05-12
OPP-0289,Summit Manufacturing,Kabir,North,IT Services,Won,1253000,1.0,1253000,2025-05-17,2025-07-18
OPP-0290,Quantum Tech,Meera,North,Manufacturing,Negotiation,3872000,0.7,2710400,2026-01-16,2026-05-02
OPP-0291,Aria Components,Sana,West,Education,Won,3688000,1.0,3688000,2026-01-01,2026-04-08
OPP-0292,Orion Industrial,Rohan,North,Education,Qualified,552000,0.25,138000,2025-03-04,2025-07-23
OPP-0293,Horizon Tech,Rohan,South,IT Services,Lead,1153000,0.1,115300,2026-07-05,2026-08-11
OPP-0294,Apex Industries,Aarav,South,Retail,Qualified,2532000,0.25,633000,2025-04-16,2025-05-08
OPP-0295,Quantum Tech,Diya,West,Manufacturing,Won,2893000,1.0,2893000,2025-01-19,2025-06-01
OPP-0296,Indus Education,Aarav,West,Healthcare,Won,3248000,1.0,3248000,2025-12-26,2026-01-21
OPP-0297,Delta Systems,Meera,South,Education,Proposal,1312000,0.5,656000,2026-08-23,2026-10-08
OPP-0298,Zenith Foods,Meera,South,Manufacturing,Qualified,1080000,0.25,270000,2026-08-30,2027-01-10
OPP-0299,BluePeak Ltd,Meera,North,Retail,Negotiation,2717000,0.7,1901899,2026-02-03,2026-07-02
OPP-0300,Cobalt Systems,Rohan,East,Healthcare,Proposal,3786000,0.5,1893000,2025-12-13,2026-04-18
